SKU,DESCRIPCION,GRUPO,FAMILIA,SUBFAMILIA,TIPO
P0102019202,GRANITO BROWN CHOCOLATE PULIDO PLACA X 2.0cm,PIEDRAS NATURALES,PLACAS EXOTICAS,GRANITOS,GRANITO BROWN CHOCOLATE
P0102019203,GRANITO BROWN CHOCOLATE MATE PLACA X 2.0cm,PIEDRAS NATURALES,PLACAS EXOTICAS,GRANITOS,GRANITO BROWN CHOCOLATE
P0102019204,GRANITO BROWN CHOCOLATE HYDRO PLACA X 2.0cm,PIEDRAS NATURALES,PLACAS EXOTICAS,GRANITOS,GRANITO BROWN CHOCOLATE
P0102019205,GRANITO BROWN CHOCOLATE SANDBLASTEADO PLACA X 2.0cm,PIEDRAS NATURALES,PLACAS EXOTICAS,GRANITOS,GRANITO BROWN CHOCOLATE
P0102019206,GRANITO BROWN CHOCOLATE RIVEN FINISH PLACA X 2.0cm,PIEDRAS NATURALES,PLACAS EXOTICAS,GRANITOS,GRANITO BROWN CHOCOLATE
P0102019207,GRANITO BROWN CHOCOLATE PLACA X 2.0cm STRIATO DESIGN NATURA COLLECTION,PIEDRAS NATURALES,PLACAS EXOTICAS,NATURA COLLECTION,GRANITO BROWN CHOCOLATE
P0102019208,GRANITO BROWN CHOCOLATE PLACA X 2.0cm PAPIRUS DESIGN NATURA COLLECTION,PIEDRAS NATURALES,PLACAS EXOTICAS,NATURA COLLECTION,GRANITO BROWN CHOCOLATE
P0102019209,GRANITO BROWN CHOCOLATE PLACA X 2.0cm SETA DESIGN NATURA COLLECTION,PIEDRAS NATURALES,PLACAS EXOTICAS,NATURA COLLECTION,GRANITO BROWN CHOCOLATE
P0101019301,MARMOL MISTRAL BEIGE SELECTO PLACA X 2.0cm  PULIDO,PIEDRAS NATURALES,PLACAS BASICAS,MARMOLES,MARMOL MISTRAL BEIGE
P0101019401,MARMOL CREMA BALTICO PRIMERA PLACA X 2.0cm  PULIDO,PIEDRAS NATURALES,PLACAS BASICAS,MARMOLES,MARMOL CREMA BALTICO
P0201019501,MARMOL BLANCO ALTEA  40.0 X 60.0 X 2.0cm  ARENADO,PIEDRAS NATURALES,LOZAS,MARMOLES,MARMOL BLANCO ALTEA
P0108019701,ONIX VELLUTO  PLACA X 2.0cm,PIEDRAS NATURALES,PLACAS EXOTICAS,ONIX,ONIX VELLUTO
P0408059614,"ONIX VELLUTO ""V.C"" PLACA 2CM PULIDO",PIEDRAS NATURALES,PLACAS EXOTICAS,ONIX,ONIX VELLUTO
P0102011103,GRANITO MARRON CASTOR PLACAS X 2cms,PIEDRAS NATURALES,PLACAS BASICAS,GRANITOS,GRANITO MARRON CASTOR
P0102019901,GRANITO BALTIC BROWN PLACA X 2.0cm PULIDO,PIEDRAS NATURALES,PLACAS BASICAS,GRANITOS,GRANITO BALTIC BROWN
P0102020001,GRANITO VERNIZ TROPICAL PLACA X 2.0cm,PIEDRAS NATURALES,PLACAS BASICAS,GRANITOS,GRANITO VERNIZ TROPICAL
P0102020101,MARMOL NUEVO CARRARA  PLACA X 2.0cm,PIEDRAS NATURALES,PLACAS BASICAS,MARMOLES,MARMOL NUEVO CARRARA
P0101020201,MARMOL BLUE ONDULATO PULIDO PLACA X 2.0cm,PIEDRAS NATURALES,PLACAS EXOTICAS,MARMOLES,MARMOL BLUE ONDULATO
P0108020301,ONIX ARCOIRIS PLACA X 2.0cm PULIDO,PIEDRAS NATURALES,PLACAS EXOTICAS,ONIX,ONIX ARCOIRIS
P0112020402,QUARZONE AMBAR PLACA X 2.0cm,PIEDRAS NATURALES,PLACAS DE CUARZO & OTRAS TEC,QUARTZONE,QUARZONE BLANCO
P0112020403,QUARZONE BLANCO ESPUMA PLACA X 2.0cm,PIEDRAS NATURALES,PLACAS DE CUARZO & OTRAS TEC,QUARTZONE,QUARZONE BLANCO
P0107020401,QUARZO BLANCO PLACA X 2.0cm,PIEDRAS NATURALES,PLACAS EXOTICAS,ONIX,QUARZONE BLANCO
P0401020410,MARMOL COPPER GREY PLACA X 2CM PULIDO,PIEDRAS NATURALES,PLACAS EXOTICAS,MARMOLES,MARMOL COPPER
P0108020501,ONIX FANTASTICO PLACA X 2.0cm PULIDO,PIEDRAS NATURALES,PLACAS EXOTICAS,ONIX,ONIX FANTASTICO
P0111020601,GRANITO IMPALA  PLACA  2.0cm  ZEBRA PLUS PULIDO,PIEDRAS NATURALES,PLACAS EXOTICAS,NATURA COLLECTION,GRANITO IMPALA
P0111020602,GRANITO IMPALA  PLACA  2.0cm  ZEBRA MINUS PULIDO,PIEDRAS NATURALES,PLACAS EXOTICAS,NATURA COLLECTION,GRANITO IMPALA
P0201006523,ARABESCATO  35 X 90 X 2.0cm  PULIDO,PIEDRAS NATURALES,LOZAS,MARMOLES,MARMOL ARABESCATO CORCHIA
P0101020701,MARMOL ARABESCATO PRIMERA PLACA X 2.0cm PULIDO,PIEDRAS NATURALES,PLACAS BASICAS,MARMOLES,MARMOL ARABESCATO CORCHIA
P0101020704,MARMOL ARABESCATO CORCHIA ESTANDAR PLACA X 2.0cm PULIDO,PIEDRAS NATURALES,PLACAS BASICAS,MARMOLES,MARMOL ARABESCATO CORCHIA
P0101020707,MARMOL ARABESCATO SELECTO PLACA X 2.0cm PULIDO,PIEDRAS NATURALES,PLACAS BASICAS,MARMOLES,MARMOL ARABESCATO CORCHIA
P0101020716,"MARMOL ARABESCATO CORCHIA ""ECO LINE"" PLACA X 2.0cm",PIEDRAS NATURALES,PLACAS BASICAS,MARMOLES,MARMOL ARABESCATO CORCHIA
P0101020717,MARMOL ARABESCATO CORCHIA PRIMERA PLACA X 2 cm PULIDO,PIEDRAS NATURALES,PLACAS BASICAS,MARMOLES,MARMOL ARABESCATO CORCHIA
P0101020801,MARMOL STATUARIO PRIMERA PLACA X 2.0cm  PULIDO,PIEDRAS NATURALES,PLACAS BASICAS,MARMOLES,MARMOL STATUARIO
P0101020802,MARMOL STATUARIO SELECTO PLACA X 2.0cm PULIDO,PIEDRAS NATURALES,PLACAS BASICAS,MARMOLES,MARMOL STATUARIO
P0101020803,MARMOL STATUARIO COMERCIAL PLACA X 2.0cm  PULIDO,PIEDRAS NATURALES,PLACAS BASICAS,MARMOLES,MARMOL STATUARIO
P0101020804,MARMOL STATUARIETTO EXTRA PLACA X 2.0cm  PULIDO,PIEDRAS NATURALES,PLACAS BASICAS,MARMOLES,MARMOL STATUARIO
